symbol,name,yahoo_symbol
20MICRONS,20 Microns Limited,20MICRONS.NS
21STCENMGM,21st Century Management Services Limited,21STCENMGM.NS
360ONE,360 ONE WAM LIMITED,360ONE.NS
3IINFOLTD,3i Infotech Limited,3IINFOLTD.NS
3MINDIA,3M India Limited,3MINDIA.NS
3PLAND,3P Land Holdings Limited,3PLAND.NS
5PAISA,5Paisa Capital Limited,5PAISA.NS
63MOONS,63 moons technologies limited,63MOONS.NS
A2ZINFRA,A2Z Infra Engineering Limited,A2ZINFRA.NS
AAATECH,AAA Technologies Limited,AAATECH.NS
AADHARHFC,Aadhar Housing Finance Limited,AADHARHFC.NS
AAKASH,Aakash Exploration Services Limited,AAKASH.NS
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS.NS
AARON,Aaron Industries Limited,AARON.NS
AARTECH,Aartech Solonics Limited,AARTECH.NS
AARTIDRUGS,Aarti Drugs Limited,AARTIDRUGS.NS
AARTIIND,Aarti Industries Limited,AARTIIND.NS
AARTIPHARM,Aarti Pharmalabs Limited,AARTIPHARM.NS
AARTISURF,Aarti Surfactants Limited,AARTISURF.NS
AARVI,Aarvi Encon Limited,AARVI.NS
AAVAS,Aavas Financiers Limited,AAVAS.NS
ABAN,Aban Offshore Limited,ABAN.NS
ABB,ABB India Limited,ABB.NS
ABBOTINDIA,Abbott India Limited,ABBOTINDIA.NS
ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL.NS
ABCOTS,A B Cotspin India Limited,ABCOTS.NS
ABDL,Allied Blenders and Distillers Limited,ABDL.NS
ABFRL,Aditya Birla Fashion and Retail Limited,ABFRL.NS
ABINFRA,A B Infrabuild Limited,ABINFRA.NS
ABLBL,Aditya Birla Lifestyle Brands Limited,ABLBL.NS
ABMINTLLTD,ABM International Limited,ABMINTLLTD.NS
ABREL,Aditya Birla Real Estate Limited,ABREL.NS
ABSLAMC,Aditya Birla Sun Life AMC Limited,ABSLAMC.NS
ACC,ACC Limited,ACC.NS
ACCELYA,Accelya Solutions India Limited,ACCELYA.NS
ACCURACY,Accuracy Shipping Limited,ACCURACY.NS
ACE,Action Construction Equipment Limited,ACE.NS
ACEINTEG,Ace Integrated Solutions Limited,ACEINTEG.NS
ACI,Archean Chemical Industries Limited,ACI.NS
ACL,Andhra Cements Limited,ACL.NS
ACMESOLAR,Acme Solar Holdings Limited,ACMESOLAR.NS
ACUTAAS,Acutaas Chemicals Limited,ACUTAAS.NS
ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL.NS
